line_id,library,version
spring-framework-5.3.x,io.netty:netty-transport,4.1.75.Final
spring-framework-5.3.x,io.netty:netty-transport,4.1.81.Final
spring-framework-5.3.x,io.netty:netty-transport,4.1.82.Final
spring-framework-5.3.x,io.projectreactor:reactor-core,3.2.22.RELEASE
spring-framework-5.3.x,io.projectreactor:reactor-core,3.3.22.RELEASE
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.19
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.22
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.23
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.29
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.32
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.34
spring-framework-5.3.x,io.projectreactor:reactor-core,3.4.41
spring-framework-5.3.x,io.projectreactor.addons:reactor-pool,0.2.9
spring-framework-5.3.x,io.projectreactor.netty:reactor-netty-core,1.0.23
spring-framework-5.3.x,io.projectreactor.netty:reactor-netty-core,1.0.39
spring-framework-5.3.x,io.projectreactor.netty:reactor-netty-http,1.0.23
spring-framework-5.3.x,io.projectreactor.netty:reactor-netty-http,1.0.39
spring-framework-5.3.x,io.r2dbc:r2dbc-pool,0.9.2.RELEASE
spring-framework-5.3.x,io.r2dbc:r2dbc-spi,0.8.6.RELEASE
spring-framework-5.3.x,io.r2dbc:r2dbc-spi,0.9.1.RELEASE
spring-framework-5.3.x,io.reactivex:rxjava-reactive-streams,1.2.1
spring-framework-5.3.x,io.reactivex:rxjava,1.2.2
spring-framework-5.3.x,io.rsocket:rsocket-core,1.1.3
spring-framework-5.3.x,io.rsocket:rsocket-core,1.1.4
spring-framework-5.3.x,io.rsocket:rsocket-transport-netty,1.1.3
spring-framework-5.3.x,io.spring.gradle:dependency-management-plugin,1.0.15.RELEASE
spring-framework-5.3.x,io.undertow:undertow-core,2.2.28.Final
spring-framework-5.3.x,io.undertow:undertow-servlet,2.2.28.Final
spring-framework-5.3.x,io.undertow:undertow-websockets-jsr,2.2.28.Final
spring-framework-5.3.x,jakarta.activation:jakarta.activation-api,1.2.1
spring-framework-5.3.x,jakarta.activation:jakarta.activation-api,1.2.2
spring-framework-5.3.x,jakarta.annotation:jakarta.annotation-api,1.3.4
spring-framework-5.3.x,jakarta.annotation:jakarta.annotation-api,1.3.5
spring-framework-5.3.x,jakarta.el:jakarta.el-api,3.0.3
spring-framework-5.3.x,jakarta.jms:jakarta.jms-api,2.0.3
spring-framework-5.3.x,jakarta.json:jakarta.json-api,1.1.6
spring-framework-5.3.x,jakarta.json:jakarta.json-api,2.0.1
spring-framework-5.3.x,jakarta.jws:jakarta.jws-api,2.1.0
spring-framework-5.3.x,jakarta.management.j2ee:jakarta.management.j2ee-api,1.1.4
spring-framework-5.3.x,jakarta.persistence:jakarta.persistence-api,2.2.3
spring-framework-5.3.x,jakarta.servlet:jakarta.servlet-api,4.0.4
spring-framework-5.3.x,jakarta.transaction:jakarta.transaction-api,1.3.3
spring-framework-5.3.x,jakarta.validation:jakarta.validation-api,2.0.2
spring-framework-5.3.x,jakarta.websocket:jakarta.websocket-api,1.1.2
spring-framework-5.3.x,jakarta.ws.rs:jakarta.ws.rs-api,2.1.6
spring-framework-5.3.x,jakarta.xml.bind:jakarta.xml.bind-api,2.3.2
spring-framework-5.3.x,jakarta.xml.bind:jakarta.xml.bind-api,2.3.3
spring-framework-5.3.x,jakarta.xml.soap:jakarta.xml.soap-api,1.4.2
spring-framework-5.3.x,jakarta.xml.ws:jakarta.xml.ws-api,2.3.3
spring-framework-5.3.x,javax.activation:activation,1.1
spring-framework-5.3.x,javax.activation:javax.activation-api,1.2.0
spring-framework-5.3.x,javax.annotation:javax.annotation-api,1.3.2
spring-framework-5.3.x,javax.annotation:jsr250-api,1.0
spring-framework-5.3.x,javax.batch:javax.batch-api,1.0
spring-framework-5.3.x,javax.enterprise:cdi-api,1.0
spring-framework-5.3.x,javax.inject:javax.inject,1
spring-framework-5.3.x,javax.persistence:javax.persistence-api,2.2
spring-framework-5.3.x,javax.servlet:javax.servlet-api,3.1.0
spring-framework-5.3.x,javax.websocket:javax.websocket-api,1.0
spring-framework-5.3.x,javax.websocket:javax.websocket-client-api,1.0
spring-framework-5.3.x,javax.xml.bind:jaxb-api,2.3.0
spring-framework-5.3.x,javax.xml.bind:jaxb-api,2.3.1
spring-framework-5.3.x,jline:jline,2.11
spring-framework-5.3.x,joda-time:joda-time,2.10.10
spring-framework-5.3.x,joda-time:joda-time,2.9
spring-framework-5.3.x,net.bytebuddy:byte-buddy-agent,1.12.9
spring-framework-5.3.x,net.bytebuddy:byte-buddy,1.12.18
spring-framework-5.3.x,net.bytebuddy:byte-buddy,1.12.9
spring-framework-5.3.x,net.java.dev.jna:jna-platform,5.7.0
spring-framework-5.3.x,net.java.dev.jna:jna,5.10.0
spring-framework-5.3.x,net.java.dev.jna:jna,5.7.0
spring-framework-5.3.x,net.jcip:jcip-annotations,1.0
spring-framework-5.3.x,net.minidev:accessors-smart,2.4.7
spring-framework-5.3.x,net.minidev:accessors-smart,2.4.8
spring-framework-5.3.x,net.minidev:json-smart,2.4.7
spring-framework-5.3.x,net.minidev:json-smart,2.4.8
spring-framework-5.3.x,net.sf.jopt-simple:jopt-simple,5.0.2
